iter	RMSE
0	47.87425178
1	43.93863946
2	40.44664677
3	37.40462701
4	34.69788227
5	32.23039211
6	30.04682609
7	28.09782349
8	26.44848696
9	24.98077432
10	23.71193338
11	22.61457077
12	21.64521352
13	20.83364938
14	20.10119927
15	19.45777791
16	18.91182636
17	18.44008509
18	18.02381846
19	17.63340417
20	17.31122746
21	17.0430275
22	16.81122378
23	16.60336316
24	16.42702388
25	16.2643474
26	16.12314165
27	16.00061913
28	15.90051387
29	15.79696721
30	15.70754066
31	15.63120546
32	15.55852292
33	15.49155291
34	15.42487101
35	15.36059824
36	15.31518059
37	15.27069933
38	15.22440878
39	15.18725689
40	15.15730764
41	15.12498832
42	15.07834037
43	15.04173884
44	15.01132358
45	14.98075238
46	14.9527618
47	14.93028988
48	14.90844044
49	14.88920925
50	14.86560464
51	14.83747872
52	14.81364113
53	14.79736706
54	14.77642413
55	14.75497058
56	14.74027078
57	14.72330539
58	14.70068847
59	14.68018397
60	14.66496882
61	14.63517973
62	14.62385489
63	14.60925909
64	14.59486909
65	14.580669
66	14.56739629
67	14.55694869
68	14.53940964
69	14.52906582
70	14.51560704
71	14.49891345
72	14.48964236
73	14.47754255
74	14.46708697
75	14.4477102
76	14.43627911
77	14.42823304
78	14.4105793
79	14.39730494
80	14.38666867
81	14.38070098
82	14.36746639
83	14.36199917
84	14.35608757
85	14.3485933
86	14.33850077
87	14.33094813
88	14.31809252
89	14.31132222
90	14.29688196
91	14.29113567
92	14.28403559
93	14.27677537
94	14.27022938
95	14.26478247
96	14.2581384
97	14.24742819
98	14.24056296
99	14.23321062
